Jahr;Monat;Woche;Wochenstart;Frauen 0-64;Frauen 65+;Männer 0-64;Männer 65+;Total
2025;10;42;2025-10-13;4;12;7;23;46
2025;9;39;2025-09-22;1;17;2;16;36
2025;9;37;2025-09-08;1;21;2;16;40
2025;9;36;2025-09-01;1;14;3;12;30
2025;7;30;2025-07-21;0;12;2;22;36
2025;7;28;2025-07-07;2;21;5;18;46
2025;7;27;2025-06-30;6;18;3;12;39
2025;6;24;2025-06-09;2;18;3;16;39
2025;6;22;2025-05-26;3;14;3;19;39
2025;5;19;2025-05-05;1;18;4;13;36
2025;4;14;2025-03-31;2;19;3;16;40
2025;3;13;2025-03-24;3;22;5;30;60
2025;3;9;2025-02-24;2;19;3;28;52
2025;1;3;2025-01-13;4;16;5;26;51
2024;12;50;2024-12-09;1;17;4;14;36
2024;11;47;2024-11-18;0;18;3;21;42
2024;11;46;2024-11-11;0;17;2;13;32
2024;11;45;2024-11-04;5;19;2;22;48
2024;10;43;2024-10-21;2;21;2;17;42
2024;10;42;2024-10-14;1;22;4;24;51
2024;10;41;2024-10-07;0;26;4;17;47
2024;9;38;2024-09-16;2;14;3;21;40
2024;8;35;2024-08-26;2;25;6;20;53
2024;8;34;2024-08-19;7;22;0;15;44
2024;8;32;2024-08-05;6;11;3;16;36
2024;7;29;2024-07-15;2;20;8;21;51
2024;5;22;2024-05-27;2;19;3;15;39
2024;4;17;2024-04-22;3;28;2;11;44
2024;4;16;2024-04-15;0;12;4;23;39
2024;4;15;2024-04-08;4;15;3;22;44
2024;4;14;2024-04-01;0;13;3;22;38
2024;3;11;2024-03-11;4;20;5;25;54
2024;2;9;2024-02-26;1;13;6;18;38
2023;12;52;2023-12-25;0;23;4;20;47
2023;12;51;2023-12-18;4;31;4;23;62
2023;12;50;2023-12-11;2;16;3;28;49
2023;12;49;2023-12-04;1;26;5;18;50
2023;11;46;2023-11-13;0;25;7;22;54
2023;10;44;2023-10-30;3;23;3;19;48
2023;10;43;2023-10-23;2;16;5;16;39
2023;9;38;2023-09-18;3;22;2;18;45
2023;7;30;2023-07-24;4;18;9;16;47
2023;6;26;2023-06-26;2;12;4;21;39
2023;6;24;2023-06-12;3;13;4;15;35
2023;5;20;2023-05-15;1;16;3;12;32
2023;4;17;2023-04-24;0;16;2;15;33
2023;4;16;2023-04-17;1;16;3;19;39
2023;3;12;2023-03-20;2;19;6;17;44
2023;3;11;2023-03-13;0;23;5;23;51
2023;2;6;2023-02-06;1;22;4;26;53
2023;1;4;2023-01-23;3;27;2;18;50
2022;12;52;2022-12-26;2;21;4;16;43
2022;10;44;2022-10-31;1;18;5;13;37
2022;10;43;2022-10-24;5;19;5;21;50
2022;10;41;2022-10-10;4;27;5;16;52
2022;9;39;2022-09-26;5;18;5;15;43
2022;9;37;2022-09-12;1;11;6;17;35
2022;8;33;2022-08-15;1;24;6;18;49
2022;8;32;2022-08-08;4;19;5;16;44
2022;8;31;2022-08-01;3;25;1;20;49
2022;7;29;2022-07-18;2;25;4;24;55
2022;6;26;2022-06-27;4;10;4;17;35
2022;5;22;2022-05-30;4;20;2;24;50
2022;4;17;2022-04-25;3;15;3;20;41
2022;4;14;2022-04-04;2;21;4;22;49
2022;3;11;2022-03-14;2;17;5;25;49
2022;2;6;2022-02-07;1;16;4;24;45
2022;1;5;2022-01-31;2;25;1;27;55
2022;1;4;2022-01-24;1;19;5;25;50
2022;1;2;2022-01-10;3;27;4;24;58
2021;12;51;2021-12-20;2;19;4;27;52
2021;12;49;2021-12-06;4;23;6;26;59
2021;11;44;2021-11-01;1;15;3;21;40
2021;10;41;2021-10-11;6;17;3;19;45
2021;8;31;2021-08-02;4;12;3;14;33
2021;7;27;2021-07-05;2;17;4;16;39
2021;6;24;2021-06-14;1;24;5;10;40
2021;5;18;2021-05-03;3;18;2;18;41
2021;3;12;2021-03-22;1;13;4;17;35
2021;2;8;2021-02-22;1;22;1;18;42
2021;2;7;2021-02-15;0;19;4;18;41
2021;1;4;2021-01-25;2;17;5;30;54
2021;1;2;2021-01-11;6;32;8;27;73
2020;11;45;2020-11-02;5;42;5;56;108
2020;10;43;2020-10-19;3;32;4;26;65
2020;10;42;2020-10-12;3;12;4;25;44
2020;9;38;2020-09-14;1;26;4;18;49
2020;9;36;2020-08-31;3;15;6;19;43
2020;8;34;2020-08-17;3;20;5;12;40
2020;8;33;2020-08-10;1;19;6;14;40
2020;6;24;2020-06-08;1;18;3;13;35
2020;6;23;2020-06-01;2;16;2;15;35
2020;5;21;2020-05-18;1;17;5;12;35
2020;3;9;2020-02-24;1;9;5;9;24
2020;2;8;2020-02-17;1;19;6;24;50
