Jahr;Monat;Woche;Frauen 0-64;Frauen 65+;Männer 0-64;Männer 65+;Total
2026;01;01;0;0;0;12;12
2026;01;02;9;0;0;0;9
2026;01;05;1;0;0;0;1
2025;10;40;2;18;3;30;53
2025;10;41;0;15;2;17;34
2025;10;42;4;12;7;23;46
2025;1;1;1;21;5;20;47
2025;1;2;4;25;7;18;54
2025;12;50;;;;;0
2025;1;3;4;16;5;26;51
2025;1;4;1;28;1;26;56
2025;2;5;0;26;7;25;58
2025;2;6;2;27;3;24;56
2025;2;7;1;22;3;19;45
2025;2;8;0;14;5;18;37
2025;3;10;1;22;2;26;51
2025;3;11;1;21;6;18;46
2025;3;12;0;13;4;24;41
2025;3;13;3;22;5;30;60
2025;3;9;2;19;3;28;52
2025;4;14;2;19;3;16;40
2025;4;15;2;26;5;14;47
2025;4;16;1;13;3;18;35
2025;4;17;4;11;1;16;32
2025;5;18;1;21;3;19;44
2025;5;19;1;18;4;13;36
2025;5;20;0;16;4;19;39
2025;5;21;2;21;4;18;45
2025;6;22;3;14;3;19;39
2025;6;23;1;17;7;13;38
2025;6;24;2;18;3;16;39
2025;6;25;3;14;8;20;45
2025;6;26;0;21;6;14;41
2025;7;27;6;18;3;12;39
2025;7;28;2;21;5;18;46
2025;7;29;1;17;4;22;44
2025;7;30;0;12;2;22;36
2025;8;31;1;24;3;22;50
2025;8;32;4;16;3;15;38
2025;8;33;2;18;0;18;38
2025;8;34;1;17;6;10;34
2025;9;35;2;14;4;20;40
2025;9;36;1;14;3;12;30
2025;9;37;1;21;2;16;40
2025;9;38;6;20;7;24;57
2025;9;39;1;17;2;16;36
2024;10;41;0;26;4;17;47
2024;10;42;1;22;4;24;51
2024;10;43;2;21;2;17;42
2024;10;44;3;15;3;18;39
2024;1;1;0;23;6;25;54
2024;11;45;5;19;2;22;48
2024;11;46;0;17;2;13;32
2024;11;47;0;18;3;21;42
2024;11;48;3;19;5;21;48
2024;1;2;0;18;3;28;49
2024;12;49;2;17;0;15;34
2024;12;50;1;17;4;14;36
2024;12;51;0;21;5;34;60
2024;12;52;4;28;5;31;68
2024;1;3;1;19;9;18;47
2024;1;4;4;18;1;20;43
2024;1;5;2;20;4;13;39
2024;2;6;3;20;2;22;47
2024;2;7;1;16;4;21;42
2024;2;8;2;14;7;15;38
2024;2;9;1;13;6;18;38
2024;3;10;3;23;3;23;52
2024;3;11;4;20;5;25;54
2024;3;12;0;24;3;14;41
2024;3;13;3;24;4;21;52
2024;4;14;0;13;3;22;38
2024;4;15;4;15;3;22;44
2024;4;16;0;12;4;23;39
2024;4;17;3;28;2;11;44
2024;4;18;0;18;2;17;37
2024;5;19;2;22;3;22;49
2024;5;20;3;17;3;33;56
2024;5;21;2;26;2;15;45
2024;5;22;2;19;3;15;39
2024;6;23;2;13;2;18;35
2024;6;24;3;21;3;15;42
2024;6;25;4;21;7;12;44
2024;6;26;1;24;2;20;47
2024;7;27;0;19;3;20;42
2024;7;28;2;19;4;21;46
2024;7;29;2;20;8;21;51
2024;7;30;4;18;2;13;37
2024;7;31;3;14;1;13;31
2024;8;32;6;11;3;16;36
2024;8;33;3;13;3;13;32
2024;8;34;7;22;0;15;44
2024;8;35;2;25;6;20;53
2024;9;36;1;15;0;30;46
2024;9;37;1;16;3;10;30
2024;9;38;2;14;3;21;40
2024;9;39;1;17;3;24;45
2024;9;40;3;25;6;19;53
2023;10;40;2;15;2;14;33
2023;10;41;4;21;6;16;47
2023;10;42;2;21;5;21;49
2023;10;43;2;16;5;16;39
2023;10;44;3;23;3;19;48
2023;1;1;2;26;3;15;46
2023;11;45;3;18;3;22;46
2023;11;46;0;25;7;22;54
2023;11;47;4;23;1;18;46
2023;11;48;2;23;2;15;42
2023;1;2;1;23;2;24;50
2023;12;49;11;26;5;18;60
2023;12;50;2;16;3;28;49
